ID,parent_ID,name
10,,Fiction
11,10,Drama
12,10,Poetry
13,10,Fantasy
131,13,Fairy Tale
132,13,Epic Fantasy
133,13,High Fantasy
134,13,Gothic
14,10,Science Fiction
141,14,Utopian and Dystopian
1411,14,Utopian
1412,142,Dystopian
14121,1412,Cyberpunk
141211,14121,Steampunk
142,14,Space Opera
143,14,Time Travel
144,14,Tech Noir
15,10,Romance
151,15,Contemporary Romance
152,15,Historical Romance
153,15,Romantic Suspense
16,10,Mystery
161,16,Crime
1611,161,Thriller
16111,1611,Police Procedural
16112,1611,Legal Thriller
16113,1611,Medical Thriller
16114,1611,Spy Thriller
1612,161,Detective
1613,161,Suspense
162,16,Noir
1621,162,Nordic Noir
1622,162,Tart Noir
163,16,Cozy Mystery
17,10,Adventure
18,10,Short Story
19,10,Graphic Novel
20,,Non-Fiction
21,20,Biography
22,21,Autobiography
23,20,Essay
24,20,Speech
